Pro1	Pro2
Q9Y4L5	Q9UBH0
Q9Y4L5	Q6ZS82
Q8TEB7	Q8NC42
Q8TEB7	O75165
Q8TEB7	O00165
Q8TEB7	Q5T9L3
Q8TEB7	Q8TEB7
Q8TEB7	Q9C0B5
O00308	Q15910
O00308	O00303
O00308	P46087
O00308	Q9H469
O00308	Q13151
O00308	P23284
O00308	Q13155
O00308	Q96S82
O00308	P32969
O00308	Q86WA8
O00308	Q92785
O00308	Q6Y7W6
O00308	Q5JRV8
O00308	O75821
O00308	Q10570
Q86TM6	P61619
Q86TM6	Q8NHH9
Q86TM6	P06756
Q86TM6	Q13200
Q86TM6	Q6Y1H2
Q86TM6	Q9H741
Q86TM6	Q86YP4
Q86TM6	Q96S66
Q86TM6	Q9Y6I9
Q86TM6	Q9BQE4
Q86TM6	Q9H1E5
Q86TM6	P11021
Q86TM6	O43301
Q86TM6	Q9UII4
Q86TM6	Q13087
Q86TM6	Q9HCG8
Q86TM6	Q9HBM0
Q86TM6	Q9BUJ0
Q86TM6	Q96JQ2
Q86TM6	Q8N9W5
O94952	Q92905
O94952	P24158
Q8TCQ1	P08581
Q8TCQ1	P22455
Q8TCQ1	P29320
Q8TCQ1	P36894
Q8TCQ1	Q96L92
Q8TCQ1	Q13873
Q8TCQ1	Q9HAR2
Q8TCQ1	O00220
Q8TCQ1	Q96AG3
Q8TCQ1	P61764
P53804	Q96SB8
P53804	O15259
P53804	Q99615
Q96CS3	O95831
Q9NSE2	Q9C0C7
Q9NS91	P43358
Q9NS91	Q00610
Q9NS91	Q07157
Q9NS91	Q8NDT2
Q9NS91	O14950
Q06587	Q6W2J9
Q8NC42	O95249
Q96T88	Q93084
Q96T88	Q16537
Q96T88	Q15717
Q96T88	P25815
Q86WC4	O75787
Q9P2P5	P41240
Q9P2P5	P82933
Q9P2P5	Q99575
Q96J02	P17612
Q96J02	O15054
Q96J02	Q16637
Q96J02	Q7L0Q8
Q96J02	Q6IC98
Q96J02	P35232
Q96J02	P12004
Q96J02	Q96RQ1
Q96J02	P68036
Q96J02	Q8N684
Q96J02	Q9H6T3
Q96J02	P04637
Q96J02	Q5T6F2
Q96J02	Q92783
Q96J02	P49427
Q96J02	P24928
Q96J02	O75317
Q96J02	Q969T9
Q96J02	P49407
Q96J02	P62993
Q96J02	Q5T0T0
Q96J02	Q03135
Q96J02	P49757
Q96J02	P61077
Q96J02	P13164
Q96J02	Q13625
Q96J02	P42858
Q96J02	Q9H469
Q96J02	Q99675
Q96J02	Q14457
Q96J02	Q15366
Q96J02	Q99963
Q96J02	Q969G3
Q96J02	Q86VP1
Q96J02	Q00987
Q96J02	O14668
Q96J02	P01111
Q96J02	Q9H4M7
Q96J02	Q5JRV8
Q96J02	Q9NZQ7
Q96J02	Q13485
Q96J02	P41227
Q96J02	Q96BR1
Q96J02	Q9NYP7
Q96J02	Q495A1
Q96J02	P45974
Q96J02	Q6P3S6
Q96J02	P08134
Q96J02	P84022
Q96J02	P01116
Q96J02	P52198
Q96J02	P04062
Q96J02	Q8TEB7
Q96J02	O00401
Q96J02	Q93008
Q96J02	P0CG48
Q96J02	P39060
Q96J02	Q8N5I2
Q96J02	O75113
Q96J02	Q96EP5
Q96J02	P78504
Q96J02	Q9Y3C5
Q8WY64	Q14995
Q8WY64	Q8N8B7
Q8WY64	O75604
Q8WY64	Q8N7H5
Q13829	P04350
Q8TEL6	Q96SY0
Q9H992	O75366
Q9H992	O14980
Q9H992	P61077
Q9UF56	Q9H5J0
Q9UF56	P16298
Q9UF56	Q9UF56
P22681	P28907
P22681	P04406
P22681	P27708
P22681	P51965
P22681	Q04759
P22681	P61081
P22681	P16333
P22681	P60484
P22681	P35226
P22681	Q92882
P22681	P54652
P22681	P51451
P22681	Q9H0M0
P22681	P28300
P22681	Q96RF0
P22681	P35527
P22681	Q15437
P22681	Q99933
P22681	P68133
P22681	P31946
P22681	P60709
P22681	Q92835
P22681	P02545
P22681	Q9H6Z9
P22681	Q15052
P22681	Q8TDD2
P22681	Q9BRY0
P22681	O00220
P22681	P34932
P22681	O00459
P22681	P41240
P22681	P78314
P22681	P20062
P22681	Q9UII4
P22681	P11142
P22681	P08779
P22681	Q9BQE3
P22681	Q99575
P22681	P04062
P22681	O60494
P22681	O95816
P22681	Q15811
P22681	P20138
P22681	Q5VVX9
P22681	P09603
P22681	P08670
P22681	O75791
P22681	Q71U36
P22681	P28698
P22681	P46531
P22681	P35908
P22681	O43609
P22681	O75376
P22681	P78317
P22681	Q15223
P22681	Q15691
P22681	P01111
P22681	P48553
P22681	P51148
P22681	O15117
P22681	P61981
Q15386	P35998
Q15386	P40259
Q9BSM1	Q8TAQ2
P98170	Q96AE4
P98170	Q8IUQ4
P98170	O95997
P98170	Q9Y239
P98170	Q9H2J4
P98170	O95835
P98170	O15294
P98170	Q92932
P98170	Q86UY6
P98170	Q5T6F0
P98170	P10415
P98170	Q14764
P98170	Q9Y240
P98170	Q96LR5
P98170	Q13618
P98170	Q9C0K7
P98170	P52788
P98170	Q92538
P98170	P14866
P98170	P05455
P98170	Q96L92
P98170	Q86WC4
P98170	O43464
P98170	P63167
P98170	P15170
P98170	Q07812
Q13077	Q96GS6
Q6PCD5	P49368
Q92466	Q8NHY2
Q92466	Q8N6F8
Q92466	Q9UBF6
Q92466	P48643
Q8WVD3	Q9Y608
Q8WVD3	O14980
Q8WVD3	Q7L1Q6
Q8WVD3	O94915
Q8WVD3	O95786
Q53G59	Q15843
Q53G59	P54253
Q53G59	O95050
Q53G59	Q9Y6Y8
Q53G59	Q93074
Q53G59	O75340
Q53G59	Q8IV04
O60683	O00623
Q6X9E4	Q7L5D6
Q7Z6Z7	Q16659
Q7Z6Z7	P23246
Q7Z6Z7	Q13794
Q7Z6Z7	Q13885
Q7Z6Z7	Q13011
Q7Z6Z7	Q9NP50
Q7Z6Z7	O75695
Q7Z6Z7	Q92667
Q7Z6Z7	Q04323
Q7Z6Z7	Q3MHD2
Q7Z6Z7	Q86XF0
Q7Z6Z7	Q99459
Q7Z6Z7	Q9UNQ0
Q7Z6Z7	Q9NRD1
Q7Z6Z7	P49368
Q7Z6Z7	Q7L014
Q7Z6Z7	P42771
Q7Z6Z7	O43242
Q7Z6Z7	P62318
Q7Z6Z7	O43175
Q7Z6Z7	P51665
Q7Z6Z7	O15393
Q7Z6Z7	P16949
Q7Z6Z7	Q14155
Q7Z6Z7	Q14CZ0
Q7Z6Z7	Q99832
Q7Z6Z7	P49736
Q7Z6Z7	P55199
P35226	P12814
P35226	P63279
P35226	Q8NF91
P35226	Q92900
P35226	P49711
P35226	P63167
P35226	Q9NQW1
P35226	Q12926
P35226	Q8WTW4
P35226	P21246
P35226	Q13619
P35226	Q6ZU80
